epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2722,2.10049,3.08803,1.87154,0.00527,0.97203,0.29374,0.09317,1.91709,3.11474,1.63868,0.00034,0.00034,0.00034
2,30.6274,1.76051,2.26424,1.60943,0.33222,0.68531,0.49896,0.2402,1.41848,2.74659,1.47938,0.00068614,0.00068614,0.00068614
3,44.7733,1.74662,2.05613,1.63071,0.49631,0.57343,0.49906,0.20927,1.59364,2.2931,1.66988,0.00101802,0.00101802,0.00101802
4,58.4638,1.66892,1.93557,1.56786,0.43474,0.6014,0.44243,0.19846,1.72168,2.14059,1.69029,0.00133565,0.00133565,0.00133565
5,72.6298,1.76163,1.95283,1.63289,0.5547,0.48252,0.49529,0.19432,1.92002,2.91603,1.98115,0.00163902,0.00163902,0.00163902
6,86.3595,1.73979,1.91798,1.61271,0.20462,0.33103,0.15424,0.06868,1.90483,3.7439,1.87518,0.001802,0.001802,0.001802
7,100.103,1.66988,1.76312,1.5105,0.11142,0.23776,0.08073,0.0332,2.3059,4.38337,2.28105,0.0017624,0.0017624,0.0017624
8,114.223,1.69114,1.67219,1.52969,0.63405,0.56643,0.6272,0.31405,1.64274,2.52137,1.56185,0.0017228,0.0017228,0.0017228
9,127.633,1.68437,1.65465,1.52208,0.52578,0.59441,0.53489,0.23523,1.76113,1.97377,1.62193,0.0016832,0.0016832,0.0016832
10,141.726,1.64122,1.50734,1.51619,0.58188,0.65203,0.56184,0.26342,1.6627,1.99288,1.67513,0.0016436,0.0016436,0.0016436
11,155.016,1.66147,1.49981,1.50778,0.69222,0.60839,0.63454,0.33213,1.62518,1.71551,1.59402,0.001604,0.001604,0.001604
12,169.048,1.62829,1.381,1.46823,0.66059,0.6993,0.71435,0.38158,1.55221,1.36878,1.40227,0.0015644,0.0015644,0.0015644
13,182.654,1.61832,1.35748,1.46043,0.65484,0.74126,0.72856,0.39956,1.443,1.55912,1.33316,0.0015248,0.0015248,0.0015248
14,196.551,1.57066,1.34024,1.42921,0.86907,0.74266,0.85804,0.50808,1.38135,1.33682,1.28356,0.0014852,0.0014852,0.0014852
15,210.033,1.59238,1.29883,1.43691,0.77965,0.72028,0.824,0.47703,1.42804,1.36374,1.35356,0.0014456,0.0014456,0.0014456
16,223.757,1.57634,1.25569,1.42016,0.49816,0.76923,0.55073,0.26845,1.67189,1.65633,1.52105,0.001406,0.001406,0.001406
17,237.653,1.57556,1.28216,1.43326,0.72286,0.71136,0.78426,0.43221,1.46562,1.26282,1.37771,0.0013664,0.0013664,0.0013664
18,251.885,1.52142,1.22306,1.3837,0.72452,0.77622,0.76591,0.43239,1.46303,1.15547,1.37069,0.0013268,0.0013268,0.0013268
19,265.514,1.57623,1.1929,1.39378,0.81777,0.78457,0.84078,0.47522,1.45141,1.14191,1.35894,0.0012872,0.0012872,0.0012872
20,279.223,1.53057,1.176,1.3943,0.77349,0.76923,0.833,0.47964,1.45672,1.15591,1.36929,0.0012476,0.0012476,0.0012476
21,293.389,1.44712,1.13034,1.35867,0.79912,0.80675,0.8348,0.47863,1.39268,1.25956,1.32156,0.001208,0.001208,0.001208
22,307.505,1.52056,1.15364,1.39898,0.79319,0.69733,0.78647,0.45518,1.38175,1.20027,1.30642,0.0011684,0.0011684,0.0011684
23,320.961,1.54148,1.12773,1.37094,0.78652,0.70629,0.7798,0.46747,1.41557,1.12081,1.31872,0.0011288,0.0011288,0.0011288
24,334.415,1.47025,1.12695,1.36886,0.87795,0.75458,0.86091,0.5266,1.37861,1.00542,1.30349,0.0010892,0.0010892,0.0010892
25,452.468,1.46738,1.11901,1.36518,0.74023,0.65035,0.70328,0.39064,1.62275,1.44319,1.49659,0.0010496,0.0010496,0.0010496
